information element,classe
the purpose of collecting data,policy
the purpose of collecting additional data,policy
why collecting the account information,policy
where delivered messages are stored,data
how to deal with undelivered messages,process
how to deal with forwarded media,process
the purpose of using end to end encryption,policy
how to deal with contact upload feature,process
collecting payment information,data
the collected data for customer support and any form of communications,data
collecting log information,data
collecting device and connection information,data
the purpose for collecting location information,policy
cookies,policy
collecting information provided by other users about you,data
screenshots and recordings,data
collecting data in case of reporting violations about the reported and the reporter,data
