Text,Summary
whatsapp must receive or collect some information to operate provide improve understand customize support and market our services including when you install access or use our services the types of information we receive and collect depend on how you use our services we require certain information to deliver our services and without this we will not be able to provide our services to you for example you must provide your mobile phone number to create an account to use our services,the purpose of collecting data
our services have optional features which if used by you require us to collect additional information to provide such features you will be notified of such collection as appropriate if you choose not to provide the information needed to use a feature you will be unable to use the feature for example you cannot share your location with your contacts if you do not permit us to collect your location data from your device permissions can be managed through your settings menu on both android and ios devices,the purpose of collecting additional data
your account information you must provide your mobile phone number and basic information including a profile name of your choice to create a whatsapp account if you dont provide us with this information you will not be able to create an account to use our services you can add other information to your account such as a profile picture and about information,why collecting the account information
your messages we do not retain your messages in the ordinary course of providing our services to you instead your messages are stored on your device and not typically stored on our servers once your messages are delivered they are deleted from our servers the following scenarios describe circumstances where we may store your messages in the course of delivering them,where delivered messages are stored
undelivered messages if a message cannot be delivered immediately for example if the recipient is offline we keep it in encrypted form on our servers for up to 30 days as we try to deliver it if a message is still undelivered after 30 days we delete it,how to deal with undelivered messages
media forwarding when a user forwards media within a message we store that media temporarily in encrypted form on our servers to aid in more efficient delivery of additional forwards,how to deal with forwarded media
we offer end to end encryption for our services end to end encryption means that your messages are encrypted to protect against us and third parties from reading them learn more about endtoend encryption and how businesses communicate with you on whatsapp,the purpose of using end to end encryption
your connections you can use the contact upload feature and provide us if permitted by applicable laws with the phone numbers in your address book on a regular basis including those of users of our services and your other contacts if any of your contacts arent yet using our services well manage this information for you in a way that ensures those contacts cannot be identified by us learn more about our contact upload feature here you can create join or get added to groups and broadcast lists and such groups and lists get associated with your account information you give your groups a name you can provide a group profile picture or description,how to deal with contact upload feature
transactions and payments data if you use our payments services or use our services meant for purchases or other financial transactions we process additional information about you including payment account and transaction information payment account and transaction information includes information needed to complete the transaction for example information about your payment method shipping details and transaction amount if you use our payments services available in your country or territory our privacy practices are described in the applicable payments privacy policy,collecting payment information
customer support and other communications when you contact us for customer support or otherwise communicate with us you may provide us with information related to your use of our services including copies of your messages any other information you deem helpful and how to contact you eg an email address for example you may send us an email with information relating to app performance or other issue,the collected data for customer support and any form of communications
usage and log information we collect information about your activity on our services like servicerelated diagnostic and performance information this includes information about your activity including how you use our services your services settings how you interact with others using our services including when you interact with a business and the time frequency and duration of your activities and interactions log files and diagnostic crash website and performance logs and reports this also includes information about when you registered to use our services the features you use like our messaging calling status groups including group name group picture group description payments or business features profile photo about information whether you are online when you last used our services your last seen and when you last updated your about information,collecting log information
device and connection information we collect device and connectionspecific information when you install access or use our services this includes information such as hardware model operating system information battery level signal strength app version browser information mobile network connection information including phone number mobile operator or isp language and time zone ip address device operations information and identifiers including identifiers unique to facebook company products associated with the same device or account,collecting device and connection information
location information we collect and use precise location information from your device with your permission when you choose to use locationrelated features like when you decide to share your location with your contacts or view locations nearby or locations others have shared with you there are certain settings relating to locationrelated information which you can find in your device settings or the inapp settings such as location sharing even if you do not use our locationrelated features we use ip addresses and other information like phone number area codes to estimate your general location eg city and country we also use your location information for diagnostics and troubleshooting purposes,the purpose for collecting location information
cookies we use cookies to operate and provide our services including to provide our services that are webbased improve your experiences understand how our services are being used and customize them for example we use cookies to provide our services for web and desktop and other webbased services we may also use cookies to understand which of our help center articles are most popular and to show you relevant content related to our services additionally we may use cookies to remember your choices like your language preferences to provide a safer experience and otherwise to customize our services for you learn more about how we use cookies to provide you our services,cookies
information others provide about you we receive information about you from other users for example when other users you know use our services they may provide your phone number name and other information like information from their mobile address book just as you may provide theirs they may also send you messages send messages to groups to which you belong or call you we require each of these users to have lawful rights to collect use and share your information before providing any information to us,collecting information provided by other users about you
you should keep in mind that in general any user can capture screenshots of your chats or messages or make recordings of your calls with them and send them to whatsapp or anyone else or post them on another platform,screenshots and recordings
user reports just as you can report other users other users or third parties may also choose to report to us your interactions and your messages with them or others on our services for example to report possible violations of our terms or policies when a report is made we collect information on both the reporting user and reported user to find out more about what happens when a user report is made please see advanced safety and security features,collecting data in case of reporting violations about the reported and the reporter
businesses on whatsapp businesses you interact with using our services may provide us with information about their interactions with you we require each of these businesses to act in accordance with applicable law when providing any information to us,providing lawful data by businesses about users
when you message with a business on whatsapp keep in mind that the content you share may be visible to several people in that business in addition some businesses might be working with thirdparty service providers which may include facebook to help manage their communications with their customers for example a business may give such thirdparty service provider access to its communications to send store read manage or otherwise process them for the business to understand how a business processes your information including how it might share your information with third parties or facebook you should review that business privacy policy or contact the business directly,how messaging a business works
thirdparty service providers we work with thirdparty service providers and other facebook companies to help us operate provide improve understand customize support and market our services for example we work with them to distribute our apps provide our technical and physical infrastructure delivery and other systems provide engineering support cybersecurity support and operational support supply location map and places information process payments help us understand how people use our services market our services help you connect with businesses using our services conduct surveys and research for us ensure safety security and integrity and help with customer service these companies may provide us with information about you in certain circumstances for example app stores may provide us with reports to help us diagnose and fix service issues,purpose of sharing data
our services we use information we have to operate and provide our services including providing customer support completing purchases or transactions improving fixing and customizing our services and connecting our services with facebook company products that you may use we also use information we have to understand how people use our services evaluate and improve our services research develop and test new services and features and conduct troubleshooting activities we also use your information to respond to you when you contact us,what is users information used for
safety security and integrity safety security and integrity are an integral part of our services we use information we have to verify accounts and activity combat harmful conduct protect users against bad experiences and spam and promote safety security and integrity on and off our services such as by investigating suspicious activity or violations of our terms and policies and to ensure our services are being used legally please see the law our rights and protection section below for more information,how safety security and integrity are protected
