paragraph,classe
if you live in the european region whatsapp ireland limited provides the services to you under this terms of service and privacy policy,false
whatsapp legal info,false
if you live outside the european region whatsapp llc whatsapp our we or us provides our services to you under this terms of service and privacy policy,false
our privacy policy privacy policy helps explain our data practices including the information we process to provide our services,false,
for example our privacy policy talks about what information we collect and how this affects you it also explains the steps we take to protect your privacy like building our services so delivered messages arent stored by us and giving you control over who you communicate with on our services,false
we are one of the facebook companies you can learn more further below in this privacy policy about the ways in which we share information across this family of companies,false
this privacy policy applies to all of our services unless specified otherwise,false
please also read whatsapps terms of service terms which describe the terms under which you use and we provide our services,false
back to top,false
whatsapp must receive or collect some information to operate provide improve understand customize support and market our services including when you install access or use our services the types of information we receive and collect depend on how you use our services we require certain information to deliver our services and without this we will not be able to provide our services to you for example you must provide your mobile phone number to create an account to use our services,true
our services have optional features which if used by you require us to collect additional information to provide such features you will be notified of such collection as appropriate if you choose not to provide the information needed to use a feature you will be unable to use the feature for example you cannot share your location with your contacts if you do not permit us to collect your location data from your device permissions can be managed through your settings menu on both android and ios devices,true
your account information you must provide your mobile phone number and basic information including a profile name of your choice to create a whatsapp account if you dont provide us with this information you will not be able to create an account to use our services you can add other information to your account such as a profile picture and about information,true
your messages we do not retain your messages in the ordinary course of providing our services to you instead your messages are stored on your device and not typically stored on our servers once your messages are delivered they are deleted from our servers the following scenarios describe circumstances where we may store your messages in the course of delivering them,true
undelivered messages if a message cannot be delivered immediately for example if the recipient is offline we keep it in encrypted form on our servers for up to 30 days as we try to deliver it if a message is still undelivered after 30 days we delete it,true
media forwarding when a user forwards media within a message we store that media temporarily in encrypted form on our servers to aid in more efficient delivery of additional forwards,true
we offer endtoend encryption for our services endtoend encryption means that your messages are encrypted to protect against us and third parties from reading them learn more about endtoend encryption and how businesses communicate with you on whatsapp,true
your connections you can use the contact upload feature and provide us if permitted by applicable laws with the phone numbers in your address book on a regular basis including those of users of our services and your other contacts if any of your contacts arent yet using our services well manage this information for you in a way that ensures those contacts cannot be identified by us learn more about our contact upload feature here you can create join or get added to groups and broadcast lists and such groups and lists get associated with your account information you give your groups a name you can provide a group profile picture or description,true
status information you may provide us your status if you choose to include one on your account learn how to use status on android iphone or kaios,false
transactions and payments data if you use our payments services or use our services meant for purchases or other financial transactions we process additional information about you including payment account and transaction information payment account and transaction information includes information needed to complete the transaction for example information about your payment method shipping details and transaction amount if you use our payments services available in your country or territory our privacy practices are described in the applicable payments privacy policy,true
customer support and other communications when you contact us for customer support or otherwise communicate with us you may provide us with information related to your use of our services including copies of your messages any other information you deem helpful and how to contact you eg an email address for example you may send us an email with information relating to app performance or other issue,true
usage and log information we collect information about your activity on our services like servicerelated diagnostic and performance information this includes information about your activity including how you use our services your services settings how you interact with others using our services including when you interact with a business and the time frequency and duration of your activities and interactions log files and diagnostic crash website and performance logs and reports this also includes information about when you registered to use our services the features you use like our messaging calling status groups including group name group picture group description payments or business features profile photo about information whether you are online when you last used our services your last seen and when you last updated your about information,true
device and connection information we collect device and connectionspecific information when you install access or use our services this includes information such as hardware model operating system information battery level signal strength app version browser information mobile network connection information including phone number mobile operator or isp language and time zone ip address device operations information and identifiers including identifiers unique to facebook company products associated with the same device or account,true
location information we collect and use precise location information from your device with your permission when you choose to use locationrelated features like when you decide to share your location with your contacts or view locations nearby or locations others have shared with you there are certain settings relating to locationrelated information which you can find in your device settings or the inapp settings such as location sharing even if you do not use our locationrelated features we use ip addresses and other information like phone number area codes to estimate your general location eg city and country we also use your location information for diagnostics and troubleshooting purposes,true
cookies we use cookies to operate and provide our services including to provide our services that are webbased improve your experiences understand how our services are being used and customize them for example we use cookies to provide our services for web and desktop and other webbased services we may also use cookies to understand which of our help center articles are most popular and to show you relevant content related to our services additionally we may use cookies to remember your choices like your language preferences to provide a safer experience and otherwise to customize our services for you learn more about how we use cookies to provide you our services,true
thirdparty information,false
information others provide about you we receive information about you from other users for example when other users you know use our services they may provide your phone number name and other information like information from their mobile address book just as you may provide theirs they may also send you messages send messages to groups to which you belong or call you we require each of these users to have lawful rights to collect use and share your information before providing any information to us,true
you should keep in mind that in general any user can capture screenshots of your chats or messages or make recordings of your calls with them and send them to whatsapp or anyone else or post them on another platform,true
user reports just as you can report other users other users or third parties may also choose to report to us your interactions and your messages with them or others on our services for example to report possible violations of our terms or policies when a report is made we collect information on both the reporting user and reported user to find out more about what happens when a user report is made please see advanced safety and security features,true
businesses on whatsapp businesses you interact with using our services may provide us with information about their interactions with you we require each of these businesses to act in accordance with applicable law when providing any information to us,true
when you message with a business on whatsapp keep in mind that the content you share may be visible to several people in that business in addition some businesses might be working with thirdparty service providers which may include facebook to help manage their communications with their customers for example a business may give such thirdparty service provider access to its communications to send store read manage or otherwise process them for the business to understand how a business processes your information including how it might share your information with third parties or facebook you should review that business privacy policy or contact the business directly,true
thirdparty service providers we work with thirdparty service providers and other facebook companies to help us operate provide improve understand customize support and market our services for example we work with them to distribute our apps provide our technical and physical infrastructure delivery and other systems provide engineering support cybersecurity support and operational support supply location map and places information process payments help us understand how people use our services market our services help you connect with businesses using our services conduct surveys and research for us ensure safety security and integrity and help with customer service these companies may provide us with information about you in certain circumstances for example app stores may provide us with reports to help us diagnose and fix service issues,true
thirdparty services we allow you to use our services in connection with thirdparty services and facebook company products if you use our services with such thirdparty services or facebook company products we may receive information about you from them for example if you use the whatsapp share button on a news service to share a news article with your whatsapp contacts groups or broadcast lists on our services or if you choose to access our services through a mobile carriers or device providers promotion of our services please note that when you use thirdparty services or facebook company products their own terms and privacy policies will govern your use of those services and products,false
we use information we have subject to choices you make and applicable law to operate provide improve understand customize support and market our services heres how,false
our services we use information we have to operate and provide our services including providing customer support completing purchases or transactions improving fixing and customizing our services and connecting our services with facebook company products that you may use we also use information we have to understand how people use our services evaluate and improve our services research develop and test new services and features and conduct troubleshooting activities we also use your information to respond to you when you contact us,true
safety security and integrity safety security and integrity are an integral part of our services we use information we have to verify accounts and activity combat harmful conduct protect users against bad experiences and spam and promote safety security and integrity on and off our services such as by investigating suspicious activity or violations of our terms and policies and to ensure our services are being used legally please see the law our rights and protection section below for more information,true
communications about our services and the facebook companies we use information we have to communicate with you about our services and let you know about our terms policies and other important updates we may provide you marketing for our services and those of the facebook companies,true
no thirdparty banner ads we still do not allow thirdparty banner ads on our services we have no intention to introduce them but if we ever do we will update this privacy policy,false
business interactions we enable you and third parties like businesses to communicate and interact with each other using our services such as catalogs for businesses on whatsapp through which you can browse products and services and place orders businesses may send you transaction appointment and shipping notifications product and service updates and marketing for example you may receive flight status information for upcoming travel a receipt for something you purchased or a notification when a delivery will be made messages you receive from a business could include an offer for something that might interest you we do not want you to have a spammy experience as with all of your messages you can manage these communications and we will honor the choices you make,true
you share your information as you use and communicate through our services and we share your information to help us operate provide improve understand customize support and market our services,true
send your information to those with whom you choose to communicate you share your information including messages as you use and communicate through our services,true
information associated with your account your phone number profile name and photo about information last seen information and message receipts are available to anyone who uses our services although you can configure your services settings to manage certain information available to other users including businesses with whom you communicate,true
your contacts and others users including businesses with whom you communicate can store or reshare your information including your phone number or messages with others on and off our services you can use your services settings and the block feature in our services to manage who you communicate with on our services and certain information you share,true
businesses on whatsapp we offer specific services to businesses such as providing them with metrics regarding their use of our services,false
thirdparty service providers we work with thirdparty service providers and other facebook companies to help us operate provide improve understand customize support and market our services we work with these companies to support our services such as to provide technical infrastructure delivery and other systems market our services conduct surveys and research for us protect the safety security and integrity of users and others and assist with customer service when we share information with thirdparty service providers and other facebook companies in this capacity we require them to use your information on our behalf in accordance with our instructions and terms,false
thirdparty services when you or others use thirdparty services or other facebook company products that are integrated with our services those thirdparty services may receive information about what you or others share with them for example if you use a data backup service integrated with our services like icloud or google drive they will receive information you share with them such as your whatsapp messages if you interact with a thirdparty service or another facebook company product linked through our services such as when you use the inapp player to play content from a thirdparty platform information about you like your ip address and the fact that you are a whatsapp user may be provided to such third party or facebook company product please note that when you use thirdparty services or other facebook company products their own terms and privacy policies will govern your use of those services and products,true,
